store_id,month,monthly_revenue_usd,monthly_customer_visits,avg_ticket_usd,renovated_store,renovation_month,post_renovation_period
S001,2025-01,25087,2894,8.11,False,,False
S001,2025-02,25341,2962,8.06,False,,False
S001,2025-03,25589,2968,8.2,False,,False
S001,2025-04,25088,2929,8.15,False,,False
S001,2025-05,25442,2910,8.1,False,,False
S001,2025-06,25523,2892,8.12,False,,False
S001,2025-07,24879,2849,8.16,False,,False
S001,2025-08,24462,2860,8.17,False,,False
S001,2025-09,23790,2816,8.11,False,,False
S001,2025-10,24663,2811,8.13,False,,False
S001,2025-11,24302,2824,8.09,False,,False
S001,2025-12,24756,2839,8.11,False,,False
S001,2026-01,24920,2868,8.21,False,,False
S001,2026-02,24993,2913,8.16,False,,False
S001,2026-03,25704,2924,8.08,False,,False
S001,2026-04,25168,2929,8.09,False,,False
S001,2026-05,25141,2903,8.11,False,,False
S001,2026-06,24397,2878,8.14,False,,False
S002,2025-01,17382,2505,6.77,False,,False
S002,2025-02,17727,2497,6.82,False,,False
S002,2025-03,17520,2522,6.82,False,,False
S002,2025-04,17627,2533,6.75,False,,False
S002,2025-05,17346,2488,6.74,False,,False
S002,2025-06,17033,2459,6.77,False,,False
S002,2025-07,16952,2409,6.73,False,,False
S002,2025-08,16769,2412,6.76,False,,False
S002,2025-09,16646,2413,6.74,False,,False
S002,2025-10,16678,2408,6.77,False,,False
S002,2025-11,17003,2421,6.76,False,,False
S002,2025-12,17008,2430,6.78,False,,False
S002,2026-01,17279,2486,6.77,False,,False
S002,2026-02,17462,2512,6.75,False,,False
S002,2026-03,17484,2511,6.76,False,,False
S002,2026-04,17432,2505,6.78,False,,False
S002,2026-05,17465,2479,6.77,False,,False
S002,2026-06,17152,2461,6.77,False,,False
S003,2025-01,30548,3248,9.16,True,2026-03,False
S003,2025-02,30475,3302,9.23,True,2026-03,False
S003,2025-03,30434,3263,9.17,True,2026-03,False
S003,2025-04,29806,3199,9.17,True,2026-03,False
S003,2025-05,29755,3240,9.16,True,2026-03,False
S003,2025-06,28768,3139,9.21,True,2026-03,False
S003,2025-07,29287,3073,9.21,True,2026-03,False
S003,2025-08,29030,3136,9.06,True,2026-03,False
S003,2025-09,28754,3108,9.14,True,2026-03,False
S003,2025-10,29688,3155,9.09,True,2026-03,False
S003,2025-11,29904,3188,9.15,True,2026-03,False
S003,2025-12,29971,3250,9.09,True,2026-03,False
S003,2026-01,30768,3253,9.15,True,2026-03,False
S003,2026-02,30394,3271,9.16,True,2026-03,False
S003,2026-03,32645,3419,9.35,True,2026-03,True
S003,2026-04,32331,3411,9.4,True,2026-03,True
S003,2026-05,31943,3336,9.41,True,2026-03,True
S003,2026-06,31647,3296,9.42,True,2026-03,True
S004,2025-01,22906,3844,5.77,False,,False
S004,2025-02,22994,3775,5.73,False,,False
S004,2025-03,22857,3764,5.78,False,,False
S004,2025-04,22365,3694,5.76,False,,False
S004,2025-05,22160,3629,5.74,False,,False
S004,2025-06,22026,3641,5.71,False,,False
S004,2025-07,22103,3621,5.71,False,,False
S004,2025-08,21972,3596,5.76,False,,False
S004,2025-09,22141,3650,5.72,False,,False
S004,2025-10,22541,3698,5.7,False,,False
S004,2025-11,22881,3763,5.72,False,,False
S004,2025-12,23508,3817,5.74,False,,False
S004,2026-01,23041,3810,5.73,False,,False
S004,2026-02,23500,3812,5.76,False,,False
S004,2026-03,23098,3737,5.76,False,,False
S004,2026-04,22492,3718,5.74,False,,False
S004,2026-05,22371,3629,5.74,False,,False
S004,2026-06,21915,3643,5.76,False,,False
S005,2025-01,26851,2763,9.89,False,,False
S005,2025-02,26493,2799,9.8,False,,False
S005,2025-03,27404,2820,9.85,False,,False
S005,2025-04,27383,2849,9.84,False,,False
S005,2025-05,27390,2835,9.86,False,,False
S005,2025-06,27404,2829,9.88,False,,False
S005,2025-07,26779,2788,9.91,False,,False
S005,2025-08,26740,2741,9.86,False,,False
S005,2025-09,26069,2718,9.76,False,,False
S005,2025-10,26186,2709,9.84,False,,False
S005,2025-11,26598,2730,9.86,False,,False
S005,2025-12,26244,2723,9.92,False,,False
S005,2026-01,26805,2821,9.93,False,,False
S005,2026-02,27163,2817,9.84,False,,False
S005,2026-03,27623,2832,9.87,False,,False
S005,2026-04,27947,2860,9.82,False,,False
S005,2026-05,27873,2862,9.85,False,,False
S005,2026-06,27587,2832,9.91,False,,False
S006,2025-01,34123,3644,8.87,True,2026-03,False
S006,2025-02,34675,3714,8.84,True,2026-03,False
S006,2025-03,34885,3702,8.87,True,2026-03,False
S006,2025-04,34567,3722,8.92,True,2026-03,False
S006,2025-05,34311,3655,8.88,True,2026-03,False
S006,2025-06,34090,3597,8.85,True,2026-03,False
S006,2025-07,33640,3569,8.86,True,2026-03,False
S006,2025-08,33763,3544,8.88,True,2026-03,False
S006,2025-09,33694,3530,8.87,True,2026-03,False
S006,2025-10,33233,3539,8.92,True,2026-03,False
S006,2025-11,34322,3605,8.92,True,2026-03,False
S006,2025-12,34365,3661,8.89,True,2026-03,False
S006,2026-01,35155,3679,8.92,True,2026-03,False
S006,2026-02,35587,3761,8.92,True,2026-03,False
S006,2026-03,38422,3943,9.17,True,2026-03,True
S006,2026-04,38538,3916,9.16,True,2026-03,True
S006,2026-05,38404,3924,9.12,True,2026-03,True
S006,2026-06,37668,3844,9.19,True,2026-03,True
S007,2025-01,31261,3412,9.68,False,,False
S007,2025-02,31370,3406,9.69,False,,False
S007,2025-03,31386,3407,9.71,False,,False
S007,2025-04,31011,3375,9.76,False,,False
S007,2025-05,30552,3403,9.7,False,,False
S007,2025-06,30307,3307,9.79,False,,False
S007,2025-07,30018,3307,9.78,False,,False
S007,2025-08,29703,3278,9.75,False,,False
S007,2025-09,30106,3308,9.73,False,,False
S007,2025-10,30420,3343,9.77,False,,False
S007,2025-11,31283,3384,9.84,False,,False
S007,2025-12,31743,3440,9.76,False,,False
S007,2026-01,31971,3489,9.8,False,,False
S007,2026-02,31775,3507,9.91,False,,False
S007,2026-03,32008,3503,9.79,False,,False
S007,2026-04,32569,3420,9.82,False,,False
S007,2026-05,31999,3440,9.83,False,,False
S007,2026-06,31865,3396,9.85,False,,False
S008,2025-01,32445,3110,9.92,False,,False
S008,2025-02,32981,3124,9.93,False,,False
S008,2025-03,32057,3106,9.88,False,,False
S008,2025-04,31858,3052,10.06,False,,False
S008,2025-05,31689,3017,9.98,False,,False
S008,2025-06,31265,3033,9.89,False,,False
S008,2025-07,31371,2992,10.03,False,,False
S008,2025-08,31335,3055,10.02,False,,False
S008,2025-09,32464,3059,10.01,False,,False
S008,2025-10,32371,3106,10.05,False,,False
S008,2025-11,32880,3168,9.95,False,,False
S008,2025-12,33051,3173,9.98,False,,False
S008,2026-01,33742,3224,9.96,False,,False
S008,2026-02,33573,3241,10.0,False,,False
S008,2026-03,33507,3189,10.08,False,,False
S008,2026-04,33157,3153,10.06,False,,False
S008,2026-05,33398,3127,10.05,False,,False
S008,2026-06,32728,3141,10.13,False,,False
S009,2025-01,15106,3083,5.14,False,,False
S009,2025-02,15346,3151,5.15,False,,False
S009,2025-03,15429,3160,5.12,False,,False
S009,2025-04,15688,3125,5.17,False,,False
S009,2025-05,15510,3157,5.12,False,,False
S009,2025-06,15546,3158,5.19,False,,False
S009,2025-07,15304,3132,5.16,False,,False
S009,2025-08,15020,3097,5.17,False,,False
S009,2025-09,15086,3062,5.2,False,,False
S009,2025-10,15163,3094,5.18,False,,False
S009,2025-11,15402,3078,5.17,False,,False
S009,2025-12,15505,3159,5.18,False,,False
S009,2026-01,15863,3153,5.19,False,,False
S009,2026-02,16081,3206,5.18,False,,False
S009,2026-03,16154,3242,5.24,False,,False
S009,2026-04,16689,3288,5.2,False,,False
S009,2026-05,16384,3273,5.23,False,,False
S009,2026-06,16252,3244,5.21,False,,False
S010,2025-01,20152,3421,5.74,False,,False
S010,2025-02,20114,3470,5.76,False,,False
S010,2025-03,20694,3467,5.74,False,,False
S010,2025-04,20282,3444,5.73,False,,False
S010,2025-05,20101,3434,5.69,False,,False
S010,2025-06,19684,3380,5.72,False,,False
S010,2025-07,19399,3340,5.69,False,,False
S010,2025-08,19472,3287,5.72,False,,False
S010,2025-09,19313,3316,5.72,False,,False
S010,2025-10,19211,3300,5.7,False,,False
S010,2025-11,19297,3360,5.74,False,,False
S010,2025-12,19783,3341,5.71,False,,False
S010,2026-01,19870,3394,5.66,False,,False
S010,2026-02,20129,3420,5.72,False,,False
S010,2026-03,20161,3434,5.68,False,,False
S010,2026-04,19887,3430,5.7,False,,False
S010,2026-05,19819,3390,5.7,False,,False
S010,2026-06,19387,3367,5.71,False,,False
S011,2025-01,35887,3692,9.14,False,,False
S011,2025-02,35512,3690,9.09,False,,False
S011,2025-03,35784,3718,9.12,False,,False
S011,2025-04,35728,3666,9.15,False,,False
S011,2025-05,34667,3627,9.08,False,,False
S011,2025-06,34204,3570,9.1,False,,False
S011,2025-07,34210,3544,9.1,False,,False
S011,2025-08,33608,3509,9.07,False,,False
S011,2025-09,33680,3568,9.12,False,,False
S011,2025-10,34959,3627,9.12,False,,False
S011,2025-11,34521,3597,9.15,False,,False
S011,2025-12,35288,3663,9.06,False,,False
S011,2026-01,35744,3710,9.08,False,,False
S011,2026-02,36323,3713,9.08,False,,False
S011,2026-03,34735,3706,9.08,False,,False
S011,2026-04,35054,3659,9.09,False,,False
S011,2026-05,34259,3602,9.15,False,,False
S011,2026-06,33657,3549,9.11,False,,False
