store_id,city,neighborhood_type,renovated_last_6mo,renovation_completed_date,pre_6mo_avg_revenue_usd,recent_3mo_avg_revenue_usd,pre_period_monthly_trend_pct,facility_condition_score_1_10,quoted_renovation_cost_usd,estimated_closure_days,foot_traffic_score,current_monthly_revenue_usd,customer_nps,avg_wait_time_minutes
S001,Lakeside,Suburban,False,,24571,24902,0.84,9.1,254000,15,5.8,24397,33,7.9
S002,Lakeside,Shopping Mall,False,,17013,17350,0.99,6.8,178000,14,6.3,17152,27,6.0
S003,Metro City,Transit Hub,True,2026-03-01,29913,31974,1.1,6.0,176000,13,6.7,31647,18,5.8
S004,Riverside,University,False,,22935,22259,1.11,5.4,175000,12,7.6,21915,47,8.2
S005,Metro City,Downtown,False,,26511,27802,0.75,7.6,215000,14,8.1,27587,28,5.1
S006,Lakeside,Downtown,True,2026-03-01,34393,38203,1.27,9.3,233000,17,9.0,37668,-2,7.4
S007,Northgate,Downtown,False,,31216,32144,1.23,9.4,262000,18,7.8,31865,41,5.7
S008,Riverside,Transit Hub,False,,33014,33094,0.85,7.9,206000,14,6.8,32728,22,6.1
S009,Metro City,University,False,,15517,16442,1.32,8.9,243000,13,6.4,16252,18,3.7
S010,Riverside,University,False,,19600,19698,0.95,8.4,218000,16,4.6,19387,11,4.8
S011,Riverside,Downtown,False,,35086,34323,1.33,7.6,225000,16,7.4,33657,40,3.4
S012,Lakeside,Shopping Mall,False,,24048,23361,0.83,9.1,227000,18,5.8,22969,21,5.4
S013,Northgate,Transit Hub,False,,23152,23841,1.05,8.7,233000,17,5.7,23861,46,6.1
S014,Eastport,Downtown,False,,27812,28110,1.27,7.0,213000,15,7.2,28215,56,3.8
S015,Riverside,Downtown,True,2026-03-01,35834,39014,1.32,7.5,213000,15,8.5,38678,1,8.6
S016,Metro City,Downtown,False,,28312,27898,0.93,8.1,228000,17,6.5,27927,23,5.9
S017,Lakeside,Suburban,False,,14607,15275,1.0,7.8,214000,16,4.0,14996,5,5.6
S018,Lakeside,University,True,2026-03-01,21211,23888,1.24,9.0,229000,18,7.6,23765,5,6.7
S019,Northgate,Suburban,False,,22546,22279,1.15,8.3,243000,15,5.6,22042,50,4.3
S020,Lakeside,Suburban,False,,32036,31415,0.69,9.7,250000,19,8.1,31009,9,5.7
S021,Riverside,University,False,,19093,19647,0.86,9.7,254000,18,5.2,19634,23,4.4
S022,Northgate,Downtown,False,,30040,30697,0.85,7.7,214000,14,7.9,30485,9,7.8
S023,Riverside,Suburban,True,2026-03-01,16686,18020,0.98,9.7,268000,20,5.3,17656,29,3.9
S024,Metro City,Suburban,False,,24165,23752,0.68,7.4,194000,13,5.1,23582,6,5.6
S025,Metro City,Suburban,False,,27305,28726,0.87,9.7,256000,18,5.9,28690,27,6.0
S026,Metro City,Transit Hub,True,2026-03-01,25051,28043,1.3,9.0,242000,16,7.0,27935,10,6.1
S027,Northgate,Downtown,True,2026-03-01,31980,34689,1.57,6.8,197000,13,5.3,34369,41,4.6
S028,Riverside,Suburban,False,,14303,13926,0.59,8.5,230000,17,4.2,13723,33,4.2
S029,Riverside,University,False,,22778,23346,0.92,8.7,245000,17,7.9,23059,23,4.6
S030,Eastport,Downtown,False,,37233,37906,0.95,9.6,243000,19,8.4,37321,14,6.3
S031,Metro City,University,False,,16053,16093,1.01,5.9,180000,13,6.1,16061,48,5.3
S032,Riverside,Downtown,True,2026-03-01,36971,39335,0.68,5.9,183000,13,7.7,39031,34,6.7
S033,Lakeside,Downtown,True,2026-03-01,36686,41460,0.42,9.7,241000,20,10.0,41051,7,6.2
S034,Metro City,Shopping Mall,False,,17680,18175,1.45,8.5,211000,17,5.8,18228,17,2.1
S035,Metro City,Shopping Mall,True,2026-03-01,13697,15126,1.31,6.9,195000,13,5.8,15062,45,5.9
S036,Metro City,Transit Hub,False,,25775,25548,0.93,9.7,264000,19,7.2,25211,9,8.9
S037,Metro City,Suburban,False,,23571,24344,0.47,9.0,246000,18,5.6,24576,16,7.5
