store_id,city,neighborhood_type,store_age_months,monthly_revenue_usd,monthly_customer_visits,avg_ticket_usd,staff_fte,annual_staff_turnover_pct,manager_tenure_years,competitors_within_half_mile,foot_traffic_score,has_drive_through,renovated_last_6mo,monthly_marketing_spend_usd,avg_wait_time_minutes,customer_nps,wifi_quality_score
S001,Lakeside,Suburban,102,24397,2878,8.14,2,24.1,3.2,1,5.8,True,False,2126,7.9,33,4
S002,Lakeside,Shopping Mall,6,17152,2461,6.77,2,50.9,2.2,3,6.3,False,False,200,6.0,27,1
S003,Metro City,Transit Hub,24,31647,3296,9.42,3,29.5,0.3,2,6.7,True,True,431,5.8,18,4
S004,Riverside,University,7,21915,3643,5.76,4,33.0,6.3,7,7.6,False,False,200,8.2,47,5
S005,Metro City,Downtown,58,27587,2832,9.91,2,31.4,3.9,6,8.1,False,False,1233,5.1,28,3
S006,Lakeside,Downtown,49,37668,3844,9.19,4,5.0,0.2,2,9.0,False,True,1157,7.4,-2,4
S007,Northgate,Downtown,95,31865,3396,9.85,4,13.6,2.6,1,7.8,False,False,1846,5.7,41,1
S008,Riverside,Transit Hub,37,32728,3141,10.13,3,10.5,3.7,2,6.8,False,False,639,6.1,22,1
S009,Metro City,University,75,16252,3244,5.21,4,66.5,1.2,4,6.4,False,False,1575,3.7,18,4
S010,Riverside,University,37,19387,3367,5.71,3,46.8,0.2,1,4.6,True,False,367,4.8,11,4
S011,Riverside,Downtown,73,33657,3549,9.11,3,27.7,0.2,4,7.4,False,False,1170,3.4,40,4
S012,Lakeside,Shopping Mall,60,22969,2851,8.47,3,26.4,0.3,1,5.8,True,False,959,5.4,21,1
S013,Northgate,Transit Hub,80,23861,2811,8.45,3,28.3,4.6,4,5.7,False,False,1433,6.1,46,4
S014,Eastport,Downtown,61,28215,3270,8.91,3,23.4,6.0,11,7.2,False,False,1199,3.8,56,4
S015,Riverside,Downtown,22,38678,4039,9.04,4,24.2,0.3,2,8.5,True,True,355,8.6,1,4
S016,Metro City,Downtown,43,27927,2983,9.39,3,34.7,0.7,5,6.5,False,False,592,5.9,23,2
S017,Lakeside,Suburban,29,14996,2130,7.17,2,52.4,0.5,2,4.0,True,False,716,5.6,5,3
S018,Lakeside,University,74,23765,3927,5.51,4,41.1,0.5,4,7.6,False,True,1284,6.7,5,5
S019,Northgate,Suburban,103,22042,2788,7.93,2,18.7,4.5,2,5.6,False,False,1874,4.3,50,3
S020,Lakeside,Suburban,75,31009,3983,7.71,4,18.1,1.0,2,8.1,False,False,1460,5.7,9,1
S021,Riverside,University,91,19634,2953,6.47,3,45.2,0.9,7,5.2,False,False,1645,4.4,23,4
S022,Northgate,Downtown,16,30485,3275,9.24,4,21.3,0.6,8,7.9,False,False,296,7.8,9,3
S023,Riverside,Suburban,117,17656,2119,7.64,2,50.4,2.3,0,5.3,False,True,2312,3.9,29,2
S024,Metro City,Suburban,21,23582,2919,8.02,2,39.5,1.2,1,5.1,True,False,408,5.6,6,4
S025,Metro City,Suburban,102,28690,3034,9.6,4,31.9,3.4,2,5.9,True,False,2008,6.0,27,1
S026,Metro City,Transit Hub,78,27935,3229,8.17,3,40.7,0.6,5,7.0,False,True,1512,6.1,10,3
S027,Northgate,Downtown,64,34369,2751,11.04,3,17.4,3.9,1,5.3,False,True,1555,4.6,41,3
S028,Riverside,Suburban,75,13723,1977,6.85,2,55.1,2.3,0,4.2,False,False,1431,4.2,33,3
S029,Riverside,University,85,23059,3976,5.98,5,46.4,0.3,4,7.9,False,False,1657,4.6,23,5
S030,Eastport,Downtown,98,37321,4045,9.23,5,9.6,1.3,3,8.4,False,False,1984,6.3,14,2
S031,Metro City,University,8,16061,3185,5.15,2,37.0,5.0,4,6.1,False,False,200,5.3,48,4
S032,Riverside,Downtown,25,39031,3415,10.06,3,5.0,6.4,7,7.7,False,True,322,6.7,34,3
S033,Lakeside,Downtown,64,41051,4048,9.98,3,8.0,1.6,7,10.0,False,True,1057,6.2,7,1
